kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-BFS.5.sm_62.ptx 100 : 409851 2064802 0 0 0 0 0 0 25803 
ispass-2009-BFS.5.sm_62.ptx 99 : 409851 2930348 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 98 : 409851 4134452 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 97 : 409851 4143624 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 96 : 409851 4123135 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 93 : 174305 66626460 768 0 0 126668 39870 0 0 
ispass-2009-BFS.5.sm_62.ptx 92 : 174305 66802801 410624 0 0 126668 39870 0 0 
ispass-2009-BFS.5.sm_62.ptx 91 : 174305 8577855 0 0 0 39870 39870 0 0 
ispass-2009-BFS.5.sm_62.ptx 90 : 174305 10696422 0 0 0 173972 39870 0 0 
ispass-2009-BFS.5.sm_62.ptx 89 : 174305 1760812 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 88 : 174305 9995323 0 0 0 174207 39870 0 0 
ispass-2009-BFS.5.sm_62.ptx 87 : 174305 1761037 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 86 : 174305 1751692 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 85 : 174305 1752009 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 84 : 174305 67802538 501696 0 0 93351 39870 0 0 
ispass-2009-BFS.5.sm_62.ptx 82 : 409851 1424203 0 0 0 0 0 0 26808 
ispass-2009-BFS.5.sm_62.ptx 81 : 409851 2895930 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 80 : 409851 207671577 24896 0 0 408502 59065 0 0 
ispass-2009-BFS.5.sm_62.ptx 79 : 409851 4146715 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 78 : 409851 2894400 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 77 : 409851 206597873 3050624 0 0 368505 59065 0 0 
ispass-2009-BFS.5.sm_62.ptx 74 : 67963 485521 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 73 : 67963 482886 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 72 : 67963 690209 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 71 : 67963 685430 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 70 : 67963 483898 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 69 : 67963 25782810 12512 0 0 31671 6403 0 0 
ispass-2009-BFS.5.sm_62.ptx 47 : 589824 6071808 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 46 : 589824 4286752 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 45 : 589824 4261792 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 43 : 589824 0 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 42 : 589824 4341792 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 41 : 589824 6178176 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 40 : 589824 3867072 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 39 : 589824 4384992 0 0 0 0 0 0 0 
