kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.5.sm_62.ptx 223 : 16 2320 0 0 0 3 1 0 0 
backprop-rodinia-3.5.sm_62.ptx 222 : 16 112 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 216 : 16 14992 64 0 0 3 1 0 0 
backprop-rodinia-3.5.sm_62.ptx 201 : 1048576 6409600 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 200 : 1048576 62265344 0 0 0 163840 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 199 : 1048576 7506496 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 198 : 1048576 7611232 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 197 : 1048576 17464384 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 196 : 1048576 7520928 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 195 : 1048576 501583328 0 0 0 163840 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 194 : 1048576 7512160 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 193 : 1048576 503168064 0 0 0 40960 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 192 : 1048576 15744288 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 191 : 1048576 7458432 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 190 : 1048576 746084992 0 0 0 98304 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 189 : 1048576 67411552 0 0 0 163840 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 188 : 1048576 7469056 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 187 : 1048576 17880160 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 186 : 1048576 7479328 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 185 : 1048576 685597952 4456480 0 0 163840 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 184 : 1048576 10695552 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 183 : 1048576 7578464 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 182 : 1048576 19111520 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 181 : 1048576 7508768 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 180 : 1048576 675915680 4456480 0 0 163840 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 179 : 1048576 10829760 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 178 : 1048576 10866208 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 177 : 1048576 7725440 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 176 : 1048576 7700736 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 175 : 1048576 551450592 262176 0 0 40960 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 174 : 1048576 10592960 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 173 : 1048576 10560928 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 172 : 1048576 7415232 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 171 : 1048576 15496128 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 170 : 1048576 7424896 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 169 : 1048576 764704928 96 0 0 98304 32768 0 0 
backprop-rodinia-3.5.sm_62.ptx 168 : 1048576 11286912 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 167 : 1048576 11332320 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 166 : 1048576 8232768 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 165 : 1048576 12526176 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 164 : 1048576 11363296 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 163 : 1048576 7391872 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 162 : 1048576 11420992 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 161 : 1048576 11306720 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 160 : 1048576 7190336 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 159 : 1048576 8047904 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 158 : 1048576 6960416 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 157 : 1048576 7704672 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 156 : 1048576 9537248 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 155 : 1048576 9580448 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 154 : 1048576 10317088 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 153 : 1048576 10927104 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 152 : 1048576 12892672 0 0 0 0 0 0 0 
backprop-rodinia-3.5.sm_62.ptx 132 : 1048576 8243296 0 0 0 0 0 0 0 
