kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot-rodinia-3.5.sm_62.ptx 243 : 473344 3449856 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 240 : 262144 3219416 0 0 0 43520 11008 0 0 
hotspot-rodinia-3.5.sm_62.ptx 239 : 262144 3105976 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 238 : 262144 2855112 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 237 : 262144 8300832 0 11008 11008 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 236 : 262144 2212592 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 234 : 473344 1585688 0 0 0 0 0 0 11008 
hotspot-rodinia-3.5.sm_62.ptx 233 : 473344 3830016 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 232 : 473344 3832288 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 229 : 473344 4043584 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 125 : 473344 0 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 124 : 473344 4070112 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 123 : 473344 5464448 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 122 : 473344 5711744 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 121 : 473344 3675776 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 120 : 473344 4187904 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 119 : 473344 4177664 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 118 : 473344 5554304 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 117 : 473344 5542208 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 116 : 473344 5587488 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 115 : 473344 5659360 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 114 : 473344 4293376 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 113 : 473344 4347968 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 112 : 473344 5649984 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 111 : 473344 5630432 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 110 : 473344 5659616 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 109 : 473344 5582720 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 108 : 473344 3717696 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 104 : 462400 2317952 0 14620 14620 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 103 : 462400 110099908 1048576 0 0 86360 14620 0 0 
hotspot-rodinia-3.5.sm_62.ptx 102 : 462400 5189656 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 101 : 462400 3800044 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 100 : 462400 2568416 0 14620 14620 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 99 : 462400 116745624 1048576 0 0 86360 14620 0 0 
hotspot-rodinia-3.5.sm_62.ptx 98 : 462400 5299928 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 107 : 473344 3402912 0 0 0 0 0 0 0 
hotspot-rodinia-3.5.sm_62.ptx 97 : 462400 5290904 0 0 0 0 0 0 0 
