kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LPS.5.sm_62.ptx 499 : 230496 2507263 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 498 : 230496 2499196 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 497 : 230496 7490721 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 496 : 230496 2467592 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 495 : 230496 2501293 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 494 : 230496 7417395 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 493 : 230496 2492984 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 492 : 230496 2496350 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 491 : 230496 7355595 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 490 : 230496 2462402 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 489 : 230496 2494610 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 488 : 230496 7357050 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 487 : 230496 2443214 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 486 : 230496 2490372 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 485 : 230496 7375837 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 484 : 230496 2420190 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 483 : 230496 7360413 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 482 : 230496 2435655 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 474 : 230496 1609185 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 775 : 250000 2843096 0 0 0 36250 10000 0 0 
ispass-2009-LPS.5.sm_62.ptx 767 : 230496 2383761 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 766 : 230496 2430761 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 762 : 230496 7391116 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 761 : 230496 2422822 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 757 : 230496 2455003 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 515 : 250000 8063548 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 514 : 250000 2659328 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 513 : 250000 2916184 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 510 : 250000 1979112 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 509 : 320000 532672 0 0 0 0 0 0 2500 
ispass-2009-LPS.5.sm_62.ptx 508 : 320000 3595456 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 507 : 320000 2336704 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 504 : 250000 2551060 0 0 0 36250 10000 0 0 
ispass-2009-LPS.5.sm_62.ptx 503 : 250000 2789368 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 502 : 250000 2732132 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 472 : 250000 2014132 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 469 : 250000 1986096 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 132 : 5688 985712 256 0 0 1584 292 0 0 
ispass-2009-LPS.5.sm_62.ptx 468 : 250000 1952816 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 131 : 5688 59645 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 457 : 142200 1467211 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 120 : 10000 112824 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 463 : 320000 2054176 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 126 : 12800 48491 0 0 0 0 0 0 148 
ispass-2009-LPS.5.sm_62.ptx 450 : 142200 4652670 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 113 : 12800 150176 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 425 : 250000 2564704 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 88 : 7600 65408 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 424 : 250000 7933500 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 87 : 7600 68232 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 163 : 12800 83872 0 0 0 0 0 0 0 
