kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-NN.5.sm_62.ptx 732 : 256 1842 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 731 : 256 1873 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 730 : 256 1845 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 729 : 256 1826 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 728 : 256 2102 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 727 : 256 1867 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 726 : 256 1831 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 725 : 256 1873 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 738 : 280 3106 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 737 : 280 1981 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 724 : 256 1546 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 722 : 256 8831 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 736 : 280 5491 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 720 : 256 1855 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 719 : 256 1559 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 735 : 280 1989 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 718 : 256 10457 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 717 : 256 9753 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 716 : 256 2601 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 706 : 24 151 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 705 : 24 174 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 715 : 256 1902 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 714 : 256 1649 0 0 0 0 0 0 0 
