kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-NQU.5.sm_62.ptx 161 : 21 84 0 1 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 133 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 125 : 46 460 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 128 : 978 9780 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 100 : 1914 13419 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 99 : 1914 62839 0 307 122 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 98 : 1914 19161 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 97 : 1914 13419 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 96 : 1914 21096 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 132 : 1935 11505 0 0 0 0 0 0 15 
ispass-2009-NQU.5.sm_62.ptx 131 : 1935 13545 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 153 : 957 5751 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 152 : 957 4793 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 151 : 957 6699 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 150 : 957 6699 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 149 : 957 4789 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 148 : 957 6699 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 147 : 957 6710 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 146 : 957 30626 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 145 : 957 9590 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 144 : 957 4772 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 143 : 957 6699 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 142 : 957 6699 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 141 : 957 30611 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 140 : 957 9581 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 139 : 957 4783 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 232 : 256 7953 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 231 : 256 7949 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 138 : 957 6699 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 137 : 957 30611 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 136 : 957 9591 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 122 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 121 : 1003 276 0 0 0 0 0 0 32 
ispass-2009-NQU.5.sm_62.ptx 120 : 1003 7021 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 119 : 1003 10036 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 117 : 1003 0 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 116 : 1003 7030 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 115 : 1003 7021 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 114 : 1003 5071 0 211 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 113 : 1003 7032 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 112 : 1003 7026 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 111 : 1003 7026 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 110 : 1003 10030 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 109 : 1003 10030 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 108 : 1003 7026 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 107 : 1003 11044 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 105 : 1935 5592 0 0 0 0 0 0 114 
ispass-2009-NQU.5.sm_62.ptx 104 : 1935 13566 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 209 : 24576 142424 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 103 : 1935 13545 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 208 : 24576 174208 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 204 : 2048 8272 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 203 : 2048 20488 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 202 : 2048 63504 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 207 : 24576 148256 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 201 : 2048 63600 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 245 : 256 1024 0 0 0 256 256 0 0 
ispass-2009-NQU.5.sm_62.ptx 78 : 21 210 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 157 : 24555 104364 0 768 768 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 244 : 256 2561 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 77 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 156 : 24555 151906 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 243 : 256 2592 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 76 : 21 3024 0 0 0 3 1 0 0 
ispass-2009-NQU.5.sm_62.ptx 242 : 256 7681 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 75 : 21 210 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 241 : 256 1913 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 74 : 21 147 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 73 : 21 105 0 2 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 239 : 24576 147372 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 72 : 21 210 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 238 : 24576 173536 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 71 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 237 : 24576 147680 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 70 : 21 210 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 69 : 21 3024 0 0 0 3 1 0 0 
ispass-2009-NQU.5.sm_62.ptx 68 : 21 210 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 234 : 256 1032 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 67 : 21 210 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 233 : 256 2570 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 66 : 21 147 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 63 : 24555 167138 0 0 0 0 0 0 0 
